name	GAME	LOCATION	MATCHUP	Confidence_Score	team1	team2	team3	team4	pick	game_time	winner	correct	score	rank	game_order
Jeremy	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	21	UL Lafayette	Nevada			UL Lafayette	12/20/2014 11:00 AM	UL Lafayette	1	21	1	1
Jeremy	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	31	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1	31	1	2
Jeremy	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	30	Colorado State	Utah			Utah	12/20/2014  3:30 PM	Utah	1	30	1	3
Jeremy	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	6	Air Force	Western Michigan			Air Force	12/20/2014  5:45 PM	Air Force	1	6	1	4
Jeremy	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	22	Bowling Green	South Alabama			South Alabama	12/20/2014  9:15 PM	Bowling Green	0	0	1	5
Jeremy	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	7	Memphis	BYU			BYU	12/22/2014  2:00 PM	Memphis	0	0	1	6
Jeremy	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	29	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1	29	1	7
Jeremy	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	8	San Diego State	Navy			Navy	12/23/2014  9:30 PM	Navy	1	8	1	8
Jeremy	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	9	Western Kentucky	Central Michigan			Central Michigan	12/24/2014 12:00 PM	Western Kentucky	0	0	1	9
Jeremy	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	10	Fresno State	Rice			Rice	12/24/2014  8:00 PM	Rice	1	10	1	10
