player	bowl	selection	confidence
Caroline	Alamo	Washington	14
Caroline	Arizona	Wyoming	11
Caroline	Armed Forces	Baylor	29
Caroline	Bahamas	Miami (OH)	35
Caroline	Birmingham	East Carolina	20
Caroline	Boca Raton	Liberty	5
Caroline	Camellia	Georgia Southern	8
Caroline	Cheez-It	Florida State	31
Caroline	Citrus	LSU	33
Caroline	Cotton	USC	23
Caroline	Cure	UTSA	34
Caroline	Duke's Mayo	NC State	32
Caroline	Fenway	Cincinnati	10
Caroline	Fiesta (Semis)	Michigan	40
Caroline	First Responder	Memphis	30
Caroline	Frisco	Boise State	18
Caroline	Gasparilla	Wake Forest	27
Caroline	Gator	South Carolina	24
Caroline	Guaranteed Rate	Wisconsin	19
Caroline	Hawai'i	San Diego State	2
Caroline	Holiday	Oregon	37
Caroline	Independence	Houston	26
Caroline	Jimmy Kimmel L.A.	Washington State	15
Caroline	Las Vegas	Oregon State	28
Caroline	LendingTree	Southern Miss	17
Caroline	Liberty	Kansas	21
Caroline	Military	Duke	7
Caroline	Music City	Iowa	3
Caroline	Myrtle Beach	Marshall	36
Caroline	Championship	Georgia	42
Caroline	New Mexico	SMU	1
Caroline	New Orleans	Western Kentucky	9
Caroline	Orange	Tennessee	39
Caroline	Peach (Semis)	Georgia	41
Caroline	Pinstripe	Minnesota	22
Caroline	Potato	San José State	16
Caroline	Quick Lane	Bowling Green	4
Caroline	ReliaQuest	Mississippi State	6
Caroline	Rose	Penn State	12
Caroline	Sugar	Alabama	38
Caroline	Sun 	UCLA	25
Caroline	Texas	Texas Tech	13
Derick	Alamo	Washington	12
Derick	Arizona	Ohio	4
Derick	Armed Forces	Baylor	37
Derick	Bahamas	Miami (OH)	39
Derick	Birmingham	East Carolina	23
Derick	Boca Raton	Liberty	9
Derick	Camellia	Georgia Southern	32
Derick	Cheez-It	Florida State	17
Derick	Citrus	LSU	25
Derick	Cotton	USC	14
Derick	Cure	Troy	21
Derick	Duke's Mayo	NC State	26
Derick	Fenway	Cincinnati	33
Derick	Fiesta (Semis)	Michigan	40
Derick	First Responder	Memphis	30
Derick	Frisco	Boise State	34
Derick	Gasparilla	Missouri	28
Derick	Gator	South Carolina	5
Derick	Guaranteed Rate	Oklahoma State	6
Derick	Hawai'i	Middle Tennessee	7
Derick	Holiday	Oregon	29
Derick	Independence	Louisiana	19
Derick	Jimmy Kimmel L.A.	Washington State	35
Derick	Las Vegas	Oregon State	22
Derick	LendingTree	Southern Miss	36
Derick	Liberty	Arkansas	27
Derick	Military	Duke	24
Derick	Music City	Kentucky	3
Derick	Myrtle Beach	Marshall	38
Derick	Championship	Michigan	42
Derick	New Mexico	SMU	18
Derick	New Orleans	South Alabama	31
Derick	Orange	Tennessee	1
Derick	Peach (Semis)	Georgia	41
Derick	Pinstripe	Minnesota	11
Derick	Potato	San José State	20
Derick	Quick Lane	Bowling Green	2
Derick	ReliaQuest	Mississippi State	15
Derick	Rose	Penn State	13
Derick	Sugar	Alabama	8
Derick	Sun 	UCLA	16
Derick	Texas	Ole Miss	10
Harper	Alamo	Texas	18
Harper	Arizona	Ohio	13
Harper	Armed Forces	Air Force	2
Harper	Bahamas	Miami (OH)	25
Harper	Birmingham	Coastal Carolina	21
Harper	Boca Raton	Toledo	7
Harper	Camellia	Buffalo	15
Harper	Cheez-It	Oklahoma	4
Harper	Citrus	LSU	37
Harper	Cotton	USC	19
Harper	Cure	UTSA	6
Harper	Duke's Mayo	NC State	14
Harper	Fenway	Cincinnati	23
Harper	Fiesta (Semis)	Michigan	40
Harper	First Responder	Memphis	38
Harper	Frisco	Boise State	36
Harper	Gasparilla	Wake Forest	27
Harper	Gator	South Carolina	3
Harper	Guaranteed Rate	Wisconsin	28
Harper	Hawai'i	San Diego State	26
Harper	Holiday	North Carolina	5
Harper	Independence	Houston	32
Harper	Jimmy Kimmel L.A.	Fresno State	12
Harper	Las Vegas	Oregon State	30
Harper	LendingTree	Southern Miss	31
Harper	Liberty	Arkansas	33
Harper	Military	UCF	20
Harper	Music City	Iowa	24
Harper	Myrtle Beach	Marshall	39
Harper	Championship	Georgia	42
Harper	New Mexico	BYU	22
Harper	New Orleans	Western Kentucky	8
Harper	Orange	Clemson	29
Harper	Peach (Semis)	Georgia	41
Harper	Pinstripe	Minnesota	34
Harper	Potato	Eastern Michigan	1
Harper	Quick Lane	New Mexico State	11
Harper	ReliaQuest	Mississippi State	16
Harper	Rose	Utah	17
Harper	Sugar	Alabama	35
Harper	Sun 	Pittsburgh	9
Harper	Texas	Texas Tech	10
JBrown	Alamo	Washington	10
JBrown	Arizona	Ohio	33
JBrown	Armed Forces	Baylor	30
JBrown	Bahamas	Miami (OH)	38
JBrown	Birmingham	East Carolina	12
JBrown	Boca Raton	Liberty	3
JBrown	Camellia	Buffalo	18
JBrown	Cheez-It	Oklahoma	23
JBrown	Citrus	LSU	28
JBrown	Cotton	USC	29
JBrown	Cure	Troy	8
JBrown	Duke's Mayo	NC State	25
JBrown	Fenway	Cincinnati	17
JBrown	Fiesta (Semis)	TCU	40
JBrown	First Responder	Memphis	31
JBrown	Frisco	Boise State	11
JBrown	Gasparilla	Wake Forest	20
JBrown	Gator	South Carolina	22
JBrown	Guaranteed Rate	Oklahoma State	32
JBrown	Hawai'i	San Diego State	5
JBrown	Holiday	Oregon	39
JBrown	Independence	Houston	16
JBrown	Jimmy Kimmel L.A.	Washington State	7
JBrown	Las Vegas	Oregon State	34
JBrown	LendingTree	Southern Miss	35
JBrown	Liberty	Arkansas	27
JBrown	Military	UCF	26
JBrown	Music City	Iowa	21
JBrown	Myrtle Beach	UConn	9
JBrown	Championship	TCU	42
JBrown	New Mexico	SMU	6
JBrown	New Orleans	South Alabama	15
JBrown	Orange	Tennessee	13
JBrown	Peach (Semis)	Georgia	41
JBrown	Pinstripe	Minnesota	1
JBrown	Potato	Eastern Michigan	14
JBrown	Quick Lane	New Mexico State	4
JBrown	ReliaQuest	Mississippi State	2
JBrown	Rose	Utah	24
JBrown	Sugar	Alabama	36
JBrown	Sun 	UCLA	37
JBrown	Texas	Texas Tech	19
Jeremy	Alamo	Texas	25
Jeremy	Arizona	Wyoming	2
Jeremy	Armed Forces	Baylor	32
Jeremy	Bahamas	Miami (OH)	39
Jeremy	Birmingham	East Carolina	24
Jeremy	Boca Raton	Liberty	21
Jeremy	Camellia	Buffalo	6
Jeremy	Cheez-It	Florida State	35
Jeremy	Citrus	LSU	36
Jeremy	Cotton	Tulane	17
Jeremy	Cure	Troy	18
Jeremy	Duke's Mayo	NC State	26
Jeremy	Fenway	Cincinnati	7
Jeremy	Fiesta (Semis)	Michigan	41
Jeremy	First Responder	Memphis	38
Jeremy	Frisco	Boise State	30
Jeremy	Gasparilla	Missouri	22
Jeremy	Gator	South Carolina	16
Jeremy	Guaranteed Rate	Wisconsin	9
Jeremy	Hawai'i	San Diego State	14
Jeremy	Holiday	Oregon	37
Jeremy	Independence	Houston	33
Jeremy	Jimmy Kimmel L.A.	Washington State	8
Jeremy	Las Vegas	Oregon State	19
Jeremy	LendingTree	Southern Miss	29
Jeremy	Liberty	Kansas	5
Jeremy	Military	Duke	15
Jeremy	Music City	Kentucky	10
Jeremy	Myrtle Beach	Marshall	13
Jeremy	Championship	Georgia	42
Jeremy	New Mexico	SMU	12
Jeremy	New Orleans	South Alabama	31
Jeremy	Orange	Clemson	11
Jeremy	Peach (Semis)	Georgia	40
Jeremy	Pinstripe	Minnesota	34
Jeremy	Potato	San José State	20
Jeremy	Quick Lane	Bowling Green	23
Jeremy	ReliaQuest	Mississippi State	1
Jeremy	Rose	Penn State	28
Jeremy	Sugar	Alabama	27
Jeremy	Sun 	Pittsburgh	3
Jeremy	Texas	Texas Tech	4
JFranks	Alamo	Texas	16
JFranks	Arizona	Wyoming	8
JFranks	Armed Forces	Baylor	21
JFranks	Bahamas	Miami (OH)	35
JFranks	Birmingham	East Carolina	24
JFranks	Boca Raton	Toledo	13
JFranks	Camellia	Georgia Southern	23
JFranks	Cheez-It	Florida State	29
JFranks	Citrus	LSU	31
JFranks	Cotton	USC	33
JFranks	Cure	Troy	10
JFranks	Duke's Mayo	NC State	6
