name	ID	GAME	LOCATION	MATCHUP	Confidence_Score	team1	team2	team3	team4	pick	game_time	winner	correct
Derick	1	Championship	Arlington, Texas	Semifinal winners	26	Alabama	Oregon	Florida State	Ohio State	Alabama	1/12/2015  8:30 PM		
Derick	1	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	8	Oregon	Florida State			Florida State	1/1/2015  5:00 PM		
Derick	1	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	34	Alabama	Ohio State			Alabama	1/1/2015  8:30 PM		
Derick	1	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	32	Baylor	Michigan State			Michigan State	1/1/2015 12:30 PM		
Derick	1	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	39	Georgia Tech	Mississippi State			Mississippi State	12/31/2014  8:00 PM		
Derick	1	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	35	Arizona	Boise State			Arizona	12/31/2014  4:00 PM		
Derick	1	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	33	TCU	Ole Miss			TCU	12/31/2014 12:30 PM		
Derick	1	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	15	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM		
Derick	1	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	21	Florida	East Carolina			East Carolina	1/3/2015 12:00 PM		
Derick	1	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	14	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM		
Derick	1	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	37	Kansas State	UCLA			Kansas State	1/2/2015  6:45 PM		
Derick	1	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	9	Iowa	Tennessee			Tennessee	1/2/2015  3:20 PM		
Derick	1	Armed Forces	Fort Worth, Texas	Houston (7-5) vs. Pittsburgh (6-6)	1	Houston	Pittsburgh			Houston	1/2/2015 12:00 PM		
Derick	1	Outback	Tampa, Fla.	Wisconsin (10-3) vs. Auburn (8-4)	18	Wisconsin	Auburn			Auburn	1/1/2015 12:00 PM		
Derick	1	Citrus	Orlando, Fla.	Minnesota (8-4) vs. Missouri (10-3)	29	Minnesota	Missouri			Missouri	1/1/2015 12:30 PM		
Derick	1	Foster Farms	Santa Clara, Calif.	Maryland (7-5) vs. Stanford (7-5)	19	Maryland	Stanford			Stanford	12/30/2014 10:00 PM		
Derick	1	Belk	Charlotte, N.C.	Louisville (9-3) vs. Georgia (9-3)	38	Louisville	Georgia			Georgia	12/30/2014  6:45 PM		
Derick	1	Music City	Nashville, Tenn.	Notre Dame (7-5) vs. LSU (8-4)	36	Notre Dame	LSU			LSU	12/30/2014  3:00 PM		
Derick	1	Texas	Houston, Texas	Texas (6-6) vs. Arkansas (6-6)	28	Texas	Arkansas			Arkansas	12/29/2014  9:00 PM		
Derick	1	Russell Athletic	Orlando, Fla.	Clemson (9-3) vs. Oklahoma (8-4)	30	Clemson	Oklahoma			Oklahoma	12/29/2014  5:30 PM		
Derick	1	Liberty	Memphis, Tenn.	West Virginia (7-5) vs. Texas A&M (7-5)	20	West Virginia	Texas A&M			West Virginia	12/29/2014  2:00 PM		
Derick	1	Holiday	San Diego, Calif.	Nebraska (9-3) vs. USC (8-4)	11	Nebraska	USC			USC	12/27/2014  8:00 PM		
Derick	1	Pinstripe	Bronx, N.Y.	Boston College (7-5) vs. Penn State (6-6)	6	Boston College	Penn State			Boston College	12/27/2014  4:30 PM		
Derick	1	Independence	Shreveport, La.	Miami (Fla.) (6-6) vs. South Carolina (6-6)	24	Miami (Fla.)	South Carolina			Miami (Fla.)	12/27/2014  4:00 PM		
Derick	1	Sun	El Paso, Texas	Duke (9-3) vs. Arizona State (9-3)	23	Duke	Arizona State			Arizona State	12/27/2014  2:00 PM		
Derick	1	Military	Annapolis, Md.	Virginia Tech (6-6) vs. Cincinnati (9-3)	22	Virginia Tech	Cincinnati			Cincinnati	12/27/2014  1:00 PM		
Derick	1	Bitcoin	St. Petersburg, Fla.	NC State (7-5) vs. UCF (9-3)	7	NC State	UCF			NC State	12/26/2014  8:00 PM		
Derick	1	Quick Lane	Detroit, Mich.	Rutgers (7-5) vs. North Carolina (6-6)	31	Rutgers	North Carolina			Rutgers	12/26/2014  4:30 PM		
Derick	1	Heart of Dallas	Dallas, Texas	Illinois (6-6) vs. Louisiana Tech (8-5)	13	Illinois	Louisiana Tech			Louisiana Tech	12/26/2014  1:00 PM		
Derick	1	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	5	Fresno State	Rice			Rice	12/24/2014  8:00 PM		
Derick	1	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	2	Western Kentucky	Central Michigan			Western Kentucky	12/24/2014 12:00 PM		
Derick	1	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	27	San Diego State	Navy			San Diego State	12/23/2014  9:30 PM	Navy	0
Derick	1	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	25	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1
Derick	1	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	10	Memphis	BYU			BYU	12/22/2014  2:00 PM	Memphis	0
Derick	1	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	4	Bowling Green	South Alabama			South Alabama	12/20/2014  9:15 PM	Bowling Green	0
